PO,description
PEO1,Graduates shall have analytical skills for effective decision making and resolving business problems related to both Indian and global business environment.
PEO2,Graduates shall have professional communication skills and leadership abilities for achieving effective individual as well as team results.
PEO3,Graduates shall be able to apply ethical and entrepreneurial skills with an understanding of social and legal implications for the development of the organization.
PO1,Apply knowledge of management theories and practices to solve business problems.
PO2,Foster Analytical and critical thinking abilities for data-based decision making.
PO3,Ability to develop Value based Leadership ability.
PO4,"Ability to understand, analyze and communicate global, economic, legal, and ethical aspects of business."
PO5,"Ability to lead themselves and others in the achievement of organizational goals, contributing effectively to a team environment."
PO6,Ability to develop entrepreneurial thinking through business acumen.
PO7,Ability to adapt technological advancements through life-long learning.
PSO1,To strengthen communication skills effectively and implement team building skills in contemporary business environment.
PSO2,To build up Indian ethos and values among MBA graduates exhibiting value centered leadership in managerial decision making.
